2023-10-03 15:42:20,923.Netflix_Producer.INFO ==================================================
2023-10-03 15:42:20,924.Netflix_Producer.INFO Today is 2023-10-03 at 03:42 PM
2023-10-03 15:42:20,924.Netflix_Producer.INFO Running on: nt Windows 10
2023-10-03 15:42:20,925.Netflix_Producer.INFO Python version:  3.9.12
2023-10-03 15:42:20,926.Netflix_Producer.INFO Python path: C:\Users\alhal\miniconda3
2023-10-03 15:42:20,926.Netflix_Producer.INFO Working dir: C:\Users\alhal\OneDrive\Documents\44-671\Module07_Netflix
2023-10-03 15:42:20,926.Netflix_Producer.INFO ==================================================
2023-10-03 15:42:40,618.Netflix_Producer.INFO  [x] Sent b'6/20/2002,0.97142899'
2023-10-03 15:42:40,627.Netflix_Producer.INFO  [x] Sent b'6/20/2002,6111000'
2023-10-03 15:42:41,654.Netflix_Producer.INFO  [x] Sent b'6/21/2002,0.979286015'
2023-10-03 15:42:41,664.Netflix_Producer.INFO  [x] Sent b'6/21/2002,0.982142985'
2023-10-03 15:42:41,674.Netflix_Producer.INFO  [x] Sent b'6/21/2002,2346400'
2023-10-03 15:42:42,695.Netflix_Producer.INFO  [x] Sent b'6/24/2002,0.978570998'
2023-10-03 15:42:42,703.Netflix_Producer.INFO  [x] Sent b'6/24/2002,0.979286015'
2023-10-03 15:42:42,712.Netflix_Producer.INFO  [x] Sent b'6/24/2002,2567600'
2023-10-03 15:42:43,731.Netflix_Producer.INFO  [x] Sent b'6/25/2002,0.964286029'
2023-10-03 15:42:43,736.Netflix_Producer.INFO  [x] Sent b'6/25/2002,0.988570988'
2023-10-03 15:42:43,742.Netflix_Producer.INFO  [x] Sent b'6/25/2002,3941000'
2023-10-03 15:42:44,762.Netflix_Producer.INFO  [x] Sent b'6/26/2002,0.988570988'
2023-10-03 15:42:44,774.Netflix_Producer.INFO  [x] Sent b'6/26/2002,0.963571012'
2023-10-03 15:42:44,781.Netflix_Producer.INFO  [x] Sent b'6/26/2002,2924600'
2023-10-03 15:42:45,819.Netflix_Producer.INFO  [x] Sent b'6/27/2002,0.943570971'
2023-10-03 15:42:45,828.Netflix_Producer.INFO  [x] Sent b'6/27/2002,1.009286046'
2023-10-03 15:42:45,838.Netflix_Producer.INFO  [x] Sent b'6/27/2002,3817800'
2023-10-03 15:42:46,867.Netflix_Producer.INFO  [x] Sent b'6/28/2002,0.999285996'
2023-10-03 15:42:46,877.Netflix_Producer.INFO  [x] Sent b'6/28/2002,0.960713983'
2023-10-03 15:42:46,884.Netflix_Producer.INFO  [x] Sent b'6/28/2002,9234400'
2023-10-03 15:42:47,909.Netflix_Producer.INFO  [x] Sent b'7/1/2002,1.027856946'
2023-10-03 15:42:47,923.Netflix_Producer.INFO  [x] Sent b'7/1/2002,1'
2023-10-03 15:42:47,932.Netflix_Producer.INFO  [x] Sent b'7/1/2002,4585000'
2023-10-03 15:42:48,950.Netflix_Producer.INFO  [x] Sent b'7/2/2002,1.172857046'
2023-10-03 15:42:48,964.Netflix_Producer.INFO  [x] Sent b'7/2/2002,1.053570986'
2023-10-03 15:42:48,974.Netflix_Producer.INFO  [x] Sent b'7/2/2002,9020200'
2023-10-03 15:42:49,993.Netflix_Producer.INFO  [x] Sent b'7/3/2002,1.21428597'
2023-10-03 15:42:50,008.Netflix_Producer.INFO  [x] Sent b'7/3/2002,1.178570986'
2023-10-03 15:42:50,016.Netflix_Producer.INFO  [x] Sent b'7/3/2002,4957400'
2023-10-03 15:42:51,033.Netflix_Producer.INFO  [x] Sent b'7/5/2002,1.276429057'
2023-10-03 15:42:51,050.Netflix_Producer.INFO  [x] Sent b'7/5/2002,1.21428597'
2023-10-03 15:42:51,059.Netflix_Producer.INFO  [x] Sent b'7/5/2002,2003400'
2023-10-03 15:42:52,079.Netflix_Producer.INFO  [x] Sent b'7/8/2002,1.175714016'
2023-10-03 15:42:52,092.Netflix_Producer.INFO  [x] Sent b'7/8/2002,1.252143025'
2023-10-03 15:42:52,099.Netflix_Producer.INFO  [x] Sent b'7/8/2002,1953000'
2023-10-03 15:42:53,124.Netflix_Producer.INFO  [x] Sent b'7/9/2002,1.16071403'
2023-10-03 15:42:53,134.Netflix_Producer.INFO  [x] Sent b'7/9/2002,1.174999952'
2023-10-03 15:42:53,141.Netflix_Producer.INFO  [x] Sent b'7/9/2002,2935800'
2023-10-03 15:42:54,166.Netflix_Producer.INFO  [x] Sent b'7/10/2002,1.163571'
2023-10-03 15:42:54,175.Netflix_Producer.INFO  [x] Sent b'7/10/2002,1.161429048'
2023-10-03 15:42:54,182.Netflix_Producer.INFO  [x] Sent b'7/10/2002,1554000'
2023-10-03 15:42:55,206.Netflix_Producer.INFO  [x] Sent b'7/11/2002,1.269286036'
2023-10-03 15:42:55,215.Netflix_Producer.INFO  [x] Sent b'7/11/2002,1.154286027'
